         383171 function calls (376601 primitive calls) in 0.362 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      254    0.000    0.000    0.010    0.000 rcsetup.py:342(validate_color_for_prop_cycle)
        1    0.000    0.000    0.197    0.197 pyplot.py:19(<module>)
      680    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.070    0.070 qt_compat.py:72(_setup_pyqt5)
       19    0.000    0.000    0.012    0.001 rcsetup.py:825(validate_cycler)
      443    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      133    0.000    0.000    0.000    0.000 posixpath.py:75(join)
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       79    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:483(__init__)
      321    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      363    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2586    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
      525    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.016    0.016 pyparsing.py:94(<module>)
       60    0.000    0.000    0.000    0.000 fromnumeric.py:69(_wrapreduction)
      177    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       56    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      339    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
     1366    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1517    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      576    0.000    0.000    0.000    0.000 <string>:1(__new__)
      134    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      365    0.000    0.000    0.000    0.000 rcsetup.py:118(validate_bool)
        6    0.000    0.000    0.002    0.000 patches.py:1830(_pprint_styles)
     1286    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      117    0.000    0.000    0.010    0.000 rcsetup.py:90(<listcomp>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 _color_data.py:992(<dictcomp>)
       66    0.000    0.000    0.000    0.000 pyparsing.py:4047(__init__)
      145    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
       82    0.000    0.000    0.001    0.000 a_star_planner.py:12(__init__)
     1902    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
      161    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      177    0.000    0.000    0.011    0.000 rcsetup.py:69(f)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     1307    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       54    0.000    0.000    0.001    0.000 __init__.py:961(_open_file_or_url)
      354    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.003    0.003 mlab.py:155(<module>)
      429    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
      731    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     2373    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      616    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      701    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       67    0.000    0.000    0.001    0.000 pyparsing.py:3690(__init__)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:3702(parseImpl)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1700(_parseCache)
       43    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
      164    0.000    0.000    0.000    0.000 colors.py:439(__init__)
      464    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
      385    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       98    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      331    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     1281    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     1828    0.000    0.000    0.000    0.000 inspect.py:2521(default)
      351    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      130    0.000    0.000    0.000    0.000 pyplot.py:1795(<genexpr>)
      363    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      150    0.000    0.000    0.006    0.000 cm.py:81(_generate_cmap)
        1    0.000    0.000    0.003    0.003 mathtext.py:2738(<listcomp>)
       10    0.000    0.000    0.002    0.000 pyparsing.py:2860(__init__)
      283    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       26    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
    61/18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
   121/59    0.000    0.000    0.003    0.000 pyparsing.py:3661(copy)
       56    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       14    0.000    0.000    0.003    0.000 enum.py:389(_create_)
